Cycle,Avg_Voltage,Avg_Current,Avg_Temperature,Capacity,SoH
159,3.409651425,-1.567128676,33.51697726,1.200893626,0.590021838
160,3.412857837,-1.553799341,33.53192327,1.190590399,0.584959667
161,3.413450902,-1.552182752,33.56763617,1.185179251,0.582301067
162,3.414388188,-1.545265293,33.60493097,1.179670682,0.579594602
163,3.412419039,-1.538651771,33.54281441,1.174595284,0.577100963
164,3.414810306,-1.516972377,33.47245936,1.153818332,0.566892852
165,3.416617733,-1.523850101,33.5821039,1.164400956,0.572092296
166,3.412134154,-1.523792815,33.66346051,1.158797495,0.569339209
167,3.419700178,-1.539131086,33.73054607,1.174974883,0.577287468
168,3.423468774,-1.542670397,33.89128224,1.185675233,0.582544752
